"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","BK-240: Re-sync idempotency — no duplicate external items","integration","2026-09-25","skipped","2026-09-25","Defect Sync (BK-372/BK-373) — /defects not deployed","integration/defects/defect-sync.test.ts","",""
"","237","BK-166: Get current user with valid token from api-state.json","smoke","2026-09-25","passed","2026-09-25","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","2293","lists tokens with columns and no full secret","e2e","2026-09-25","passed","2026-09-25","BK-88: Settings > Tokens","e2e/settings/settings-pages.test.ts","",""
"","111","BK-4: POST /workspaces rejects unauthenticated → 401","smoke","2026-09-25","passed","2026-09-25","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","107","BK-150: POST /atcs rejects unauthenticated request with 401","smoke","2026-09-25","passed","2026-09-25","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","415","BK-160: PATCH /atcs/{id} keeps slug, user_story_id and module_id immutable","integration","2026-09-25","passed","2026-09-25","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","1","BK-240: Re-sync idempotency — no duplicate external items","smoke","2026-09-25","skipped","2026-09-25","Defect Sync (BK-372/BK-373) — /defects not deployed","integration/defects/defect-sync.test.ts","",""
"","394","BK-156: PATCH /atcs/{id} happy path with X-If-Match","integration","2026-09-25","passed","2026-09-25","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","1609","lists my workspaces with role and a single active marker","e2e","2026-09-25","passed","2026-09-25","BK-89: Settings > Workspaces","e2e/settings/settings-pages.test.ts","",""
"","7706","Global Teardown: generate reports and sync TMS","global-teardown","2026-09-25","passed","2026-09-25","","teardown/global.teardown.ts","",""
"","600","BK-166: Re-authenticate and obtain new token","smoke","2026-09-25","passed","2026-09-25","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","237","BK-308: POST /tests returns 404 for non-existent ATC IDs","smoke","2026-09-25","passed","2026-09-25","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","509","Session token resolves the current user","smoke","2026-09-25","passed","2026-09-25","Session smoke: authenticated landing + API","e2e/session/session-smoke.test.ts","",""
"","135","BK-4: POST /workspaces rejects reserved slug → 422","smoke","2026-09-25","passed","2026-09-25","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","169","BK-150: POST /atcs rejects token lacking atc:write scope with 403","integration","2026-09-25","passed","2026-09-25","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","140","BK-4: POST /workspaces rejects reserved slug → 422","integration","2026-09-25","passed","2026-09-25","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","3108","BK-313: should sign in successfully with valid credentials","e2e-auth","2026-09-25","passed","2026-09-25","BK-166: Login E2E","e2e/auth/login.test.ts","",""
"","158","BK-8: POST /workspaces/{id}/projects creates project → 201","smoke","2026-09-25","passed","2026-09-25","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
