"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","517","BK-149: POST /atcs creates an ATC with steps, assertions, slug and version 1","sandbox","2026-08-07","passed","2026-08-07","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","303","BK-151: POST /atcs rejects AC that belongs to a different user story with 422","integration","2026-08-07","passed","2026-08-07","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","207","BK-150: POST /atcs rejects invalid token with 401","integration","2026-08-07","passed","2026-08-07","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","467","BK-305: POST /tests allows duplicate ATC IDs in chain","integration","2026-08-07","passed","2026-08-07","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","407","BK-4: POST /workspaces creates workspace with name+slug → 201","integration","2026-08-07","passed","2026-08-07","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","620","BK-157: PATCH /atcs/{id} honors matching X-If-Match → 200","integration","2026-08-07","passed","2026-08-07","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","261","BK-308: POST /tests returns 404 for non-existent ATC IDs","integration","2026-08-07","passed","2026-08-07","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","649","BK-309: POST /tests with Idempotency-Key returns same test on retry","integration","2026-08-07","passed","2026-08-07","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","215","BK-4: POST /workspaces rejects unauthenticated → 401","integration","2026-08-07","passed","2026-08-07","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","303","BK-173: POST /api/v1/imports rejects empty body → 422","sandbox","2026-08-07","passed","2026-08-07","BK-17: Jira Import API","integration/jira-import/jira-import.sandbox.ts","",""
"","300","BK-152: POST /atcs rejects module outside user story subtree with 422","integration","2026-08-07","passed","2026-08-07","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","247","BK-14: POST /modules/{id}/user-stories rejects title < 3 → 422","integration","2026-08-07","passed","2026-08-07","BK-14: User Stories API","integration/user-story/user-story.test.ts","",""
"","602","BK-156: PATCH /atcs/{id} cascade-replaces children (BK-96 regression)","integration","2026-08-07","passed","2026-08-07","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","264","BK-173: POST /api/v1/imports rejects missing project_id → 422","sandbox","2026-08-07","passed","2026-08-07","BK-17: Jira Import API","integration/jira-import/jira-import.sandbox.ts","",""
"","880","BK-166: Re-authenticate and obtain new token","integration","2026-08-07","passed","2026-08-07","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","383","BK-166: POST /api/v1/auth/signin with valid credentials returns user+session+PAT","sandbox","2026-08-07","passed","2026-08-07","BK-166: Auth email+password sign-in API","integration/auth/auth-signin.sandbox.ts","",""
"","612","BK-158: PATCH /atcs/{id} returns 404 for non-existent id","integration","2026-08-07","passed","2026-08-07","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","233","BK-246: Workspace isolation — defects scoped to correct workspace","integration","2026-08-07","failed","2026-08-07","BK-43: TMS-Defect Sync","integration/defects/defect-sync.test.ts","",""
"","295","BK-14: POST /api/v1/modules/{id}/user-stories returns 404 for non-existent module","sandbox","2026-08-07","passed","2026-08-07","BK-14: User Story CRUD API","integration/user-story/user-story.sandbox.ts","",""
"","623","BK-160: PATCH /atcs/{id} keeps slug, user_story_id and module_id immutable","integration","2026-08-07","passed","2026-08-07","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","514","BK-166: Get current user with valid token from api-state.json","integration","2026-08-07","passed","2026-08-07","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","304","BK-151: POST /atcs rejects AC that belongs to a different user story with 422","sandbox","2026-08-07","passed","2026-08-07","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","263","BK-4: POST /workspaces rejects reserved slug → 422","integration","2026-08-07","passed","2026-08-07","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","692","BK-157: PATCH /atcs/{id} absent X-If-Match → 200","sandbox","2026-08-07","passed","2026-08-07","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","1414","BK-154: POST /atcs validates request body boundaries","integration","2026-08-07","passed","2026-08-07","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","688","BK-4: POST /api/v1/workspaces rejects duplicate slug → 409","sandbox","2026-08-07","passed","2026-08-07","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.sandbox.ts","",""
"","943","BK-157: PATCH /atcs/{id} rejects stale X-If-Match → 409","sandbox","2026-08-07","passed","2026-08-07","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","415","BK-149: POST /atcs creates an ATC with steps, assertions, slug and version 1","integration","2026-08-07","passed","2026-08-07","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","648","BK-160: PATCH /atcs/{id} keeps slug, user_story_id and module_id immutable","sandbox","2026-08-07","passed","2026-08-07","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","680","BK-157: PATCH /atcs/{id} honors matching X-If-Match → 200","sandbox","2026-08-07","passed","2026-08-07","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","176","BK-307: POST /tests rejects 201-character title with 422","integration","2026-08-07","passed","2026-08-07","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","658","BK-4: POST /workspaces rejects duplicate slug → 409","integration","2026-08-07","passed","2026-08-07","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","909","BK-149: POST /atcs works for all layer values (UI, API, Unit)","integration","2026-08-07","passed","2026-08-07","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","318","BK-152: POST /atcs rejects module outside user story subtree with 422","sandbox","2026-08-07","passed","2026-08-07","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","307","BK-8: POST /workspaces/{id}/projects rejects non-member → 403","integration","2026-08-07","passed","2026-08-07","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","297","BK-169: GET /api/v1/imports/{id} returns job status","sandbox","2026-08-07","passed","2026-08-07","BK-17: Jira Import API","integration/jira-import/jira-import.sandbox.ts","",""
"","579","BK-156: PATCH /atcs/{id} happy path with X-If-Match","integration","2026-08-07","passed","2026-08-07","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
