"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","409","BK-155: POST /atcs returns error when user_story_id does not exist (no partial write)","sandbox","2026-07-01","passed","2026-07-01","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","1","BK-150: POST /atcs rejects token lacking atc:write scope with 403","sandbox","2026-07-01","skipped","2026-07-01","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","563","BK-157: PATCH /atcs/{id} honors matching X-If-Match → 200","sandbox","2026-07-01","passed","2026-07-01","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","1038","BK-149: POST /atcs works for all layer values (UI, API, Unit)","sandbox","2026-07-01","passed","2026-07-01","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","1092","BK-154: POST /atcs validates request body boundaries","sandbox","2026-07-01","passed","2026-07-01","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","252","BK-152: POST /atcs rejects module outside user story subtree with 422","sandbox","2026-07-01","passed","2026-07-01","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","492","BK-158: PATCH /atcs/{id} returns 404 for non-existent id","sandbox","2026-07-01","passed","2026-07-01","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","432","BK-150: POST /atcs rejects invalid token with 401","sandbox","2026-07-01","passed","2026-07-01","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","537","BK-160: PATCH /atcs/{id} keeps slug, user_story_id and module_id immutable","sandbox","2026-07-01","passed","2026-07-01","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","198","BK-150: POST /atcs rejects unauthenticated request with 401","sandbox","2026-07-01","passed","2026-07-01","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","566","BK-157: PATCH /atcs/{id} absent X-If-Match → 200","sandbox","2026-07-01","passed","2026-07-01","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","565","BK-159: PATCH /atcs/{id} with identical payload returns 200 but still bumps version","sandbox","2026-07-01","passed","2026-07-01","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","830","BK-157: PATCH /atcs/{id} rejects stale X-If-Match → 409","sandbox","2026-07-01","passed","2026-07-01","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","268","BK-151: POST /atcs rejects AC that belongs to a different user story with 422","sandbox","2026-07-01","passed","2026-07-01","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","731","BK-156: PATCH /atcs/{id} happy path with X-If-Match","sandbox","2026-07-01","passed","2026-07-01","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","560","BK-156: PATCH /atcs/{id} cascade-replaces children (BK-96 regression)","sandbox","2026-07-01","passed","2026-07-01","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","2819","BK-149: POST /atcs creates an ATC with steps, assertions, slug and version 1","sandbox","2026-07-01","passed","2026-07-01","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","1250","BK-153: POST /atcs rejects steps with non-increasing positions","sandbox","2026-07-01","passed","2026-07-01","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
