"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","792","BK-202: User info accessible via API with session token","smoke","2026-08-15","passed","2026-08-15","BK-3: Dashboard E2E","e2e/dashboard/dashboard.test.ts","",""
"","367","BK-149: POST /atcs creates an ATC with steps, assertions, slug and version 1","smoke","2026-08-15","passed","2026-08-15","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","677","BK-4: POST /workspaces rejects duplicate slug → 409","smoke","2026-08-15","passed","2026-08-15","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","409","BK-166: Get current user with valid token from api-state.json","smoke","2026-08-15","passed","2026-08-15","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","422","BK-310: POST /tests rejects unauthenticated request with 401","smoke","2026-08-15","failed","2026-08-15","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","2","BK-240: Re-sync idempotency — no duplicate external items","smoke","2026-08-15","skipped","2026-08-15","Defect Sync (BK-372/BK-373) — /defects not deployed","integration/defects/defect-sync.test.ts","",""
"","1351","BK-305: POST /tests creates a test chaining 3 ATCs","smoke","2026-08-15","passed","2026-08-15","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","329","BK-150: POST /atcs rejects token lacking atc:write scope with 403","smoke","2026-08-15","passed","2026-08-15","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","1043","API Setup: authenticate via API","api-setup","2026-08-15","passed","2026-08-15","","setup/api-auth.setup.ts","",""
"","686","BK-4: DB persistence — created workspace appears in GET /workspaces list","smoke","2026-08-15","passed","2026-08-15","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","310","BK-306: POST /tests rejects empty atc_ids with 422","smoke","2026-08-15","passed","2026-08-15","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","294","BK-155: POST /atcs returns error when user_story_id does not exist (no partial write)","smoke","2026-08-15","passed","2026-08-15","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
